page_id;page_title;page_ns;revision_id;timestamp;contributor_id;contributor_name;bytes
1059;|Hilo:Rod Link/@comment-7426511-20130630025207/@comment-7426511-20130630030640|;1201;1729;2013-06-30T03:06:40Z;7426511;|Carlos A A S|;23
1061;|Hilo:Rod Link/@comment-7426511-20130630025207/@comment-7426511-20130630031353|;1201;1731;2013-06-30T03:13:53Z;7426511;|Carlos A A S|;22
1060;|Hilo:Rod Link/@comment-7426511-20130630025207/@comment-8776898-20130630030841|;1201;1730;2013-06-30T03:08:41Z;8776898;|Link Hylian2012|;181
1068;|Hilo:Rod Link/@comment-7426511-20130701194505|;1201;1743;2013-07-01T19:45:05Z;7426511;|Carlos A A S|;264
1069;|Hilo:Rod Link/@comment-7426511-20130701194505/@comment-5952074-20130701201944|;1201;1744;2013-07-01T20:19:45Z;5952074;|Rod Link|;116
1071;|Hilo:Rod Link/@comment-7426511-20130701194505/@comment-5952074-20130702004219|;1201;1746;2013-07-02T00:42:19Z;5952074;|Rod Link|;131
1075;|Hilo:Rod Link/@comment-7426511-20130701194505/@comment-5952074-20130702005725|;1201;1750;2013-07-02T00:57:26Z;5952074;|Rod Link|;193
1079;|Hilo:Rod Link/@comment-7426511-20130701194505/@comment-5952074-20130702200629|;1201;1760;2013-07-02T20:06:29Z;5952074;|Rod Link|;6
1070;|Hilo:Rod Link/@comment-7426511-20130701194505/@comment-7426511-20130701204355|;1201;1745;2013-07-01T20:43:55Z;7426511;|Carlos A A S|;20
1073;|Hilo:Rod Link/@comment-7426511-20130701194505/@comment-7426511-20130702005118|;1201;1748;2013-07-02T00:51:18Z;7426511;|Carlos A A S|;11
1076;|Hilo:Rod Link/@comment-7426511-20130701194505/@comment-7426511-20130702010128|;1201;1751;2013-07-02T01:01:28Z;7426511;|Carlos A A S|;24
1077;|Hilo:Rod Link/@comment-7426511-20130701194505/@comment-7426511-20130702010505|;1201;1752;2013-07-02T01:05:05Z;7426511;|Carlos A A S|;36
1080;|Hilo:Rod Link/@comment-7426511-20130701194505/@comment-7426511-20130703023754|;1201;1762;2013-07-03T02:37:54Z;7426511;|Carlos A A S|;10
665;|Hilo:Rod Link/@comment-8227768-20130525121057|;1201;1114;2013-05-25T12:10:57Z;8227768;|Marcos000000000|;70
